Code,Name,Customer Type,Bank Name,Bank Account Number,Sales Account,Tin,Term,Street,City,Province,Country,Zip Code,Mobile,Landline,Fax,Email,Website,Contact Person,Contact Role,Status
1,MDSI_Las Pinas,Dealer /  Distributor,,,Sales,000-000-000-00000,0,,,,,,,,,,,,,Active
1,MDSI_Las Pinas,MDSI_Las Pinas,,,Sales,000-000-000-00000,0,,,,,,,,,,,,,Active
 CAR_01,ALOHA ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,0,30,"Metrobaguio Laboratories, 146 Kisad Rd, Baguio, 2600 Benguet",,,,,,,,,,,,Active
 CAR_02,"METROBAGUIO LABORATORIES, INC.",Free Standing Laboratory,,,Accounts Receivable,0,30,"146 Kisad Rd, Baguio, Benguet",,,,,,,,,,,,Active
 CAR_03,NOTRE DAME DE CHARTRES HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"25 GEN LUNA ROAD, BAGUIO CITY",,,,,,,,,,,,Active
 NCR_01,AMERICAN BIO-CLINICAL LABORATORIES INTERNATIONAL,Free Standing Laboratory,,,Accounts Receivable,4671999001,30,"Richville Corporate Tower, Madrigal Business Park Real Street, Muntinlupa City",,,,,9334354888,Ms. Joycee Ichinose,,purchasing@abclab.com.ph,,,,Active
 NCR_02,ARCIAGA MEDICAL CLINIC,Medical Doctors Clinic,,,Accounts Receivable,0,30,"Bayanan, Muntinlupa City",,,,,9998812670,,,arciagamed@gmail.com,,ELIE FERNANDEZ,,Active
 NCR_03,ASIA PRIMERA KIMIKA INC,Dealer /  Distributor,,,Accounts Receivable,0,30,"Unit 303, Alabang Business Tower, Madrigal Business Park, 1216 Acacia Ave, Muntinlupa",,,,,,,,,,,,Active
 NCR_04,ASPRIME INTERNATIONAL INC.,Dealer /  Distributor,,,Accounts Receivable,0,30,"Level 26-A Rufino Pacific Tower 6784, Ayala Avenue, Corner V.A. Rufino St, Makati City",,,,,,,,,,,,Active
 NCR_05,BAYANAN MEDICAL CLINIC,Medical Doctors Clinic,,,Accounts Receivable,0,30,"235 NATIONAL ROAD, BAYANAN MUNTINLUPA CITY",,,,,0927-877-1185,,,bayananmedicalclinic@gmail.com,,"Dr, Romeo Canatoy / Sir Mark",,Active
 NCR_06,BEST DIAGNOSTIC CORPORATION,Free Standing Laboratory,,,Accounts Receivable,0,30,"Extension, 94 Masikap, Diliman, Quezon City, 1100 Metro Manila",,,,,,,,,,,,Active
 NCR_07,BROMED ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,0,30,"Malate, Metro Manila",,,,,,,,,,,,Active
 NCR_08,CBC LINK OF MANILA INC.,Dealer /  Distributor,,,Accounts Receivable,2540367000,30,2896 FINLANDIA SAN ISIDRO MAKATI CITY,,,,,9228863903,,,,,GLAIZA,,Active
 NCR_09,CENTURIA MEDICAL CLINIC,Medical Doctors Clinic,,,Accounts Receivable,0,30,"Brgy, Century City Kalayaan Ave, cor Salamanca, Makati City",,,,,,,,,,,,Active
 NCR_10,"DE LOS SANTOS MEDICAL CENTER, INC.",Private Hospital,,,Accounts Receivable,0,30,"201 E Rodriguez Sr. Ave, Quezon City",,,,,0916-2096196,,,mpsy@dlsmc.ph,,Ms. Maricel,,Active
 NCR_11,DRMDP ENTERPRISE,Dealer /  Distributor,,,Accounts Receivable,0,30,"1 Narra, Quezon City, 1119 Metro Manila",,,,,0968 884 7991,,,,,,,Active
 NCR_12,EASTBOUND MEDICAL SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,0,30,"District 2, Reina Mercedes, 3303 Metro Manila",,,,,,,,,,,,Active
 NCR_13,ELITE HEALTHCARE MEDICAL DISTRIBUTION,Dealer /  Distributor,,,Accounts Receivable,0,30,"23 Ramax, Quezon City",,,,,,,,,,,,Active
 NCR_14,GENSENS DIAGNOSTIC CLINIC INC.,Free Standing Laboratory,,,Accounts Receivable,0,30,"4th Floor, Elements Quezon Avenue Building, 560 Quezon Ave, Quezon City",,,,,,,,,,,,Active
 NCR_16,LAS PINAS DOCTORS HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"8009 CAA Rd, Pulanglupa II, Las Pi嚙窮s City",,,,,,,,,,,,Active
 NCR_17,MAVESON ENTERPRISE,Dealer /  Distributor,,,Accounts Receivable,205009749000,30,"DANSALAN ST., SYCAMORE TOWER, MANDALUYONG CITY",,,,,0927-427-7766,,,acctgfinance.maveson@gmail.com,,Ms. Maya,,Active
 NCR_19,MEDFAST MEDICAL SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,0,30,3FLOOR SOLEDAD BLDG..216 A.BONIFACIO AVE. TANONG MARIKINA CITY,,,,,0917-153-3213,,,jar.medequip@gmail.com,,jar.medequip@gmail.com,,Active
 NCR_21,MEDICUS DIAGNOSTIC CENTER,Free Standing Laboratory,,,Accounts Receivable,0,30,"UNIT F BPI BLDG 177 DONA SOLEDAD AVE., DON BOSCO BETTERLIVING, PARANAQUE",,,,,,,,,,,,Active
 NCR_22,MERALCO-CORPORATE WELLNESS CENTER,Free Standing Laboratory,,,Accounts Receivable,101528000,30,"LOPEZ BDLG., ORTIGAS AVENUE, UGONG, PASIG CITY 1600",,,,,,,,,,,,Active
 NCR_23,"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC.",Private Hospital,,,Accounts Receivable,7861586000,30,"1001 MINDANAO AVENUE, BRGY. BAHAY TORO, QUEZON CITY",,,,,,,,,,,,Active
 NCR_24,MOISEN MARKETING INC.,Dealer /  Distributor,,,Accounts Receivable,7978961000,30,708 M EARNSHAW ST. BRGY 457 ZONE 45 SAMPALOC MANILA,,,,,0917-854-3165,,,onieda_ogerio@yahoo.com,,Ms. Daye,,Active
 NCR_25,PHARMA QUEST CO.,Dealer /  Distributor,,,Accounts Receivable,21144488400000,30,"46 A Kalantiaw St. Brgy. Masagana, Project 4, Quezon City",,,,,9173026442,,,sales.info@pharmaquestco.com,,,,Active
 NCR_26,PRIME RCMC INDUSTRIAL CO,Dealer /  Distributor,,,Accounts Receivable,10262890000,30,UNIT 1-A  122 9TH AVENUE BRGY SOCORRO CUBAO QUEZON CITY,,,,,0920-908-7827,,,primercmc2019@gmail.com,,Ms. Tin,,Active
 NCR_27,"PROVIDENCE HOSPITAL, INC.",Private Hospital,,,Accounts Receivable,0,30,"1515 QUEZON AVENUE, WEST TRIANGLE, QUEZON CITY",,,,,,,,,,,,Active
 NCR_28,RIZAL MEDICAL CENTER,Private Hospital,,,Accounts Receivable,0,30,"Pasig Blvd, Pasig, 1600 Metro Manila",,,,,,,,,,,,Active
 NCR_29,RTS EXPRESS IMPORT & EXPORT,Dealer /  Distributor,,,Accounts Receivable,280768471000,30,"445 ARQUIZA ST. ERMITA, MANILA",,,,,0995-2610-373,,,rts.group.ph@gmail.com,,Ms. Anne Panique,,Active
 NCR_30,SY MEDICAL TRADING CORPORATION,Dealer /  Distributor,,,Accounts Receivable,8349710000,30,SW 63 Goldloop Tower Escriva Drive San Antonio Pasig City,,,,,0936-591-4822,,,purchasing@symedicaltrading.com,,Mr. Edrian,,Active
 NCR_31,TOKYO HEALTHLINK INC.,Free Standing Laboratory,,,Accounts Receivable,232350819000,30,EL MOLITO BLDG MADRIGAL AVE AYALA ALABANG MUNTINLUPA CITY,,,,,,,,,,,,Active
 NCR_32,ULTRAMAX & ULTRASOUND DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,0,30,"UNIT 1 & 2 CUEVAS BLDG. REAL ST. 1740 ALABANG-ZAPOTE RD, LAS PI嚙璀S CITY",,,,,,,,,,,,Active
 NCR_33,UNITED DOCTORS MEDICAL CENTER,Private Hospital,,,Accounts Receivable,0,30,"6 N. Ramirez St., Brgy. Don Manuel, Quezon City, Quezon City",,,,,9223142816,,,customercare@udmc.com.ph,,,,Active
 NCR_34,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CTR. INC.,Private Hospital,,,Accounts Receivable,419945000,30,"3rd flr. Unimall Complex, Alabang-Zapote Rd., Las Pinas City",,,,,,,,,,,,Active
 NCR_35,ST. PETER PAUL MEDICAL CLINIC,Medical Doctors Clinic,,,Accounts Receivable,0,30,"ZONE D72, 1182 GREY ST., ERMITA MANILA",,,,,,,,,,,,Active
 NCR_36,HM CARE LABORATORY CLINIC & DIAGNOSTIC CENTER INC.,Free Standing Laboratory,,,Accounts Receivable,000-000-000-00000,0,,MAKATI,METRO MANILA,,,,,,,,,,Active
 NCR_37,GILCARE DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Sales,000-000-000-00000,0,BRGY. CENTRAL,QUEZON CITY,METRO MANILA,,,,,,,,,,Active
 NCR_38,UPLAND SPECIALTY DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,000-000-000-00000,0,JP RIZAL ST. MENDEZ,QUEZON CITY,METRO MANILA,,,,,,,,,,Active
 R1_01,ACCULIFE MEDICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"ARINGAY, LA UNION",,,,,9619526092,,,acculifemedlab@gmail.com,,,,Active
 R1_02,AGOO MUNICIPAL HEALTH OFFICE (RHU),Research Center,,,Accounts Receivable,0,30,STA BARBARA AGOO LA UNION,,,,,,,,,,,,Active
 R1_03,EVOLUTIONARY MEDICAL SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,0,30,"2411 Mawaque Road, Mabalacat City, Pampanga",,,,,,,,evomed2018@gmail.com,,ELVIE KALINISAN,,Active
 R1_04,LA UNION MEDICAL CENTER,Private Hospital,,,Accounts Receivable,0,30,"NAZARENO, AGOO, LA UNION",,,,,9399196192,,,,,MINERVA DELLA,,Active
 R1_05,LUZON MEDICAL CENTER,Private Hospital,,,Accounts Receivable,0,30,"329 MAC ARTHUR HIGHWAY, Dagupan City, 2400 Pangasinan",,,,,,,,,,,,Active
 R1_06,MEDITEK MEDICAL CLINIC AND LABORATORY,Free Standing Laboratory,,,Accounts Receivable,179647687000,30,"Mapandan, Pangasinan",,,,,,,,meditekmedicalcliniclaboratory@gmail.com,,,,Active
 R1_07,METRO URDANETA SPECIALIST,Free Standing Laboratory,,,Accounts Receivable,0,30,"URDANETA CITY, PANGASINAN",,,,,,,,,,,,Active
 R1_08,MUNICIPALITY OF SAN MANUEL,Research Center,,,Accounts Receivable,0,30,"San Manuel, Pangasinan",,,,,,,,,,,,Active
 R1_09,NEW ROSARIO DIAGNOSTIC CLINIC AND LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"ROSARIO, LA UNION",,,,,9178503468,,,newrosariodiagnostic@yahoo.com,,GWEN LARON,,Active
 R1_10,QUANTERRA MEDICAL AND LABORATORY SERVICES,Free Standing Laboratory,,,Accounts Receivable,0,30,"SAN MIGUEL ST. NAGSIMBAANAN BACNOTAN, LA UNION",,,,,,,,quanterramedlab@gmail.com,,,,Active
 R1_11,RXL PRIMECARE ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,0,30,"STA. BARBARA, PANGASINAN",,,,,0933-853-4384,,,,,Mr. Lucky Guao,,Active
 R1_13,VIRGEN MILAGROSA MEDICAL CENTER,Private Hospital,,,Accounts Receivable,288966885000,30,Pangasinan,,,,,,,,,,,,Active
 R10_01,BLESS SCIENTIFIC LABORATORY SUPPLY,Dealer /  Distributor,,,Accounts Receivable,0,30,"B15 L10 SILVERCREEK SUBD. PHASE 1, CARMEN, CAGAYAN DE ORO CITY",,,,,9274684536,,,blessscientific@yahoo.com,,HARLEY SANICO,,Active
 R11_02,FABLAB BIO SOLUTIONS INCORPORATED,Dealer /  Distributor,,,Accounts Receivable,740772178000,30,"B54 L29 COUNTRY HOMES, CABANTIAN BUHANGIN DISTRICT,DAVAO CITY",,,,,0967-3566-834,,,fablabbio.corp@gmail.com,,Ms. Nina,,Active
 R11_03,GLOBAL DIAGNOSTICS COMPANY,Dealer /  Distributor,,,Accounts Receivable,5881011000,30,"Door 2 G/F Major Bldg.,165-B Bonifacio St., Davao City",,,,,0917-716-6565,,,globaldiagnostics2001@gmail.com,,Ms. Pam,,Active
 R11_04,MIKENSON DIAGNOSTIC SUPPLY,Dealer /  Distributor,,,Accounts Receivable,0,30,"SAN PEDRO EXTENSION, DAVAO CITY",,,,,,,,,,,,Active
 R13_01,RN MEDICAL AND LABORATORY SUPPLY,Free Standing Laboratory,,,Accounts Receivable,759880131000,30,"PUROK 1 BRGY ROJALES, CARMEN AGUSAN DEL NORTE",,,,,0949-994-0057,,,rn.medlabsupply@gmail.com,,Ms. Faith Grace Lauro,,Active
 R2_01,MEDLINK ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,408801228000,30,"UNIT 6 SEVERO SHELL COMPOUND BALZAIN HIGHWAY, CENTRO 11 TUGUEGARAO",,,,,0945-762-4181,,,medlinkenterprises.acctg@gmail.com,,Ms. Girlie,,Active
 R2_02,TOPMED DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"ILAGAN, ISABELA",,,,,,,,,,,,Active
 R3_01,AGAPE HEALTH CARE SUPPLIES AND EQUIPMENT CORPORATION,Dealer /  Distributor,,,Accounts Receivable,4000,30,"SANTA INES, Bacolor, Pampanga",,,,,0917-561-6546,,,agapelab@yahoo.com.ph,,Mr. Jayson Galura,,Active
 R3_02,CENTUR MEDICAL SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,222318769000,30,BLK 2 L4 PH 2 ESTRELLA HOMES GAYA-GAYA SAN JOSE DEL MONTE BULACAN,,,,,0926-071-9094,,,centurmedicalsupplies2019@gmail.com,,Mr. Romeo Sedoripa,,Active
 R3_03,DLSI - DEGRAMM LABORATORY SUPPLIES INC,Dealer /  Distributor,,,Accounts Receivable,0,30,"LOT 3 PEARL ST. GEMSVILLE 1 SUBD. DOLORES, SAN FERNANDO, PAMPANGA",,,,,0917-673-0725,,,degrammlabsupplies.inc@gmail.com,,Ms. Glia,,Active
 R3_04,GOODSEED MEDICAL ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,0,30,"san Pedro palcarangan, lubao, pampanga",,,,,0917-629-0764,,,alexmacataig@gmail.com,,Mr. Alex Macataig,,Active
 R3_05,JORONIAN TRADING,Dealer /  Distributor,,,Accounts Receivable,0,30,"DOLMAR SUBD, PHASE 1 Orchids St, Marilao, Bulacan",,,,,0956 207 4175,,,,,,,Active
 R3_06,LIFESAVIOUR MEDICAL EQUIPMENT AND SUPPLIES TRADING,Dealer /  Distributor,,,Accounts Receivable,287472529001,30,"209 Purok 3, Magalang, Pampanga",,,,,,,,lifesaviourtrading@gmail.com,,RODETTE GARCIA,,Active
 R3_07,MEYCAUAYAN DOCTORS HOSPITAL AND MEDICAL CENTER,Free Standing Laboratory,,,Accounts Receivable,229405704000,30,"MEYCAUAYAN, BULACAN",,,,,0969 175 8109,,,mdhopd2022@gmail.com,,,,Active
 R3_08,PANIM MEDICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,16 CLARK ST. POBLACION SUR. PANQUI TARLAC CITY,,,,,,,,,,,,Active
 R3_09,ST. LANEAH DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,CAMILING TARLAC,,,,,,,,,,,,Active
 R3_10,TIFFANY JAYDE ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,228331703000,30,"66-D PACO, OBANDO, BULACAN",,,,,,,,,,,,Active
 R4_01,A.C. BELAN DIAGNOSTIC CENTER,Free Standing Laboratory,,,Accounts Receivable,0,30,"210 General Malvar St, Bi嚙窮n, 4024 Laguna",,,,,,,,,,,,Active
